Platz|Name|Kilometer|Gruppe
1|Carlos Fisch|2.552 km|M1
2|David Babenerde|2.271 km|M1
10|Timo Schlichting|705 km|M1
11|Johann Stuhlemmer|615 km|M1
1|Marika Stuhlemmer|1.573 km|W1
6|Lena Wille|635 km|W1
8|Shayenne Zimmer|571 km|W1
1|Melina Weidlich|2.890 km|W2
2|Johanna Fröhlich|1.921 km|W2
5|Isabel Giese|735 km|W2
1|Tim Czemper|4.059 km|M3
2|Paul Seydel|2.368 km|M3
1|Nirina Beilfuß|2.550 km|W3
2|Jennifer Liang|1.065 km|W3
3|Lisa Liang|959 km|W3
2|Florian Coesfeld|1.103 km|M4
2|Patrik Sassin|2.187 km|M5
1|Corinna Schneider|1.742 km|W5
1|Stefan Biastock|3.613 km|M6
2|Thomas Schmidt-Lehmann|1.762 km|M6
17|Peter Strauß|703 km|M6
3|Simone Pelzer|1.940 km|W6
8|Astrid Giese|1.093 km|W6
2|Martin Beilfuß|2.681 km|M7
6|Ralf Häberer|1.856 km|M7
7|Jochen Wagner|1.719 km|M7
21|Ulrich Schmidt|1.098 km|M7
39|Wolfgang Petri|656 km|M7
1|Doris Specht|3.165 km|W7
6|Silvia Pietschmann|996 km|W7
7|Gundula Daun|927 km|W7
13|Sonia Beilfuß|712 km|W7
